Longitude,Latitude,Start Year
-26.483,-57.8,1995
-71.183,-37.856,1995
160.595,55.972,1995
112.95,-7.942,1995
-68.55,-20.73,1995
-62.18,16.72,1995
165.8,-10.38,1995
177.18,-37.52,1995
-177.168,51.923,1995
-174.87,-19.18,1995
-86.702,12.506,1995
-159.38,56.17,1995
-26.483,-57.8,1995
-71.93,-39.42,1995
-24.35,14.95,1995
114.056,-8.119,1995
112.95,-7.942,1995
167.83,-15.4,1995
137.587,36.227,1995
-166.923,53.891,1995
-91.55,-0.37,1995
-88.269,13.434,1995
175.57,-39.28,1995
-169.058,-14.215,1995
-98.622,19.023,1994
93.858,12.278,1994
168.12,-16.25,1994
-71.183,-37.856,1994
-83.852,9.979,1994
124.05,12.77,1994
-67.73,-23.37,1994
-169.944,52.825,1994
103.13,-4.03,1994
-71.93,-39.42,1994
152.203,-4.271,1994
35.914,-2.764,1994
160.642,56.056,1994
141.289,24.751,1994
115.375,-8.242,1994
-86.845,12.602,1994
-103.62,19.514,1994
-67.73,-23.37,1994
114.056,-8.119,1994
160.595,55.972,1994
29.2,-1.408,1994
29.25,-1.52,1994
15.004,37.734,1994
116.47,-8.42,1994
-169.944,52.825,1994
-71.729,-38.692,1994
131.104,32.884,1994
151.33,-5.05,1994
105.423,-6.102,1994
-84.233,10.2,1994
114.242,-8.058,1994
127.33,0.8,1994
-177.168,51.923,1994
-67.73,-23.37,1993
-91.12,-0.43,1993
147.12,-5.358,1993
160.595,55.972,1993
123.57,-8.53,1993
-163.97,54.756,1993
123.132,10.412,1993
-166.923,53.891,1993
15.004,37.734,1993
-159.38,56.17,1993
114.242,-8.058,1993
-129.58,46.52,1993
123.258,-8.342,1993
-86.161,11.984,1993
-172.51,52.315,1993
127.33,0.8,1993
114.056,-8.119,1993
-78.598,-0.171,1993
120.35,15.13,1993
15.004,37.734,1993
123.685,13.257,1993
-67.73,-23.37,1993
-110.95,18.78,1993
109.92,-7.2,1993
145.8,18.13,1993
-77.37,1.22,1993
151.33,-5.05,1993
73.513,-53.106,1993
-172.51,52.315,1992
-165.986,54.134,1992
72.6,-53.03,1992
141.481,24.285,1992
105.423,-6.102,1992
-84.233,10.2,1992
160.642,56.056,1992
-71.93,-39.42,1992
55.708,-21.244,1992
-71.729,-38.692,1992
-71.183,-37.856,1992
120.35,15.13,1992
-168.03,53.93,1992
-152.251,61.299,1992
123.132,10.412,1992
73.513,-53.106,1992
131.104,32.884,1992
145.8,18.13,1992
-86.702,12.506,1992
125.5,3.67,1992
160.595,55.972,1992
-165.986,54.134,1992
-84.233,10.2,1992
175.57,-39.28,1992
160.642,56.056,1992
110.442,-7.542,1992
123.132,10.412,1992
15.004,37.734,1991
130.862,31.934,1991
-104.3,9.83,1991
-164.65,54.518,1991
123.258,-8.342,1991
-67.73,-23.37,1991
-90.47,0.33,1991
29.2,-1.408,1991
-165.986,54.134,1991
114.056,-8.119,1991
